编号,学科,知识点,前置节点,验收能力,最小验收任务,常见陷阱,状态,证据编号,证据说明,下一步优先级,范围核验,实际作答日期,最近复测日期,下次复测日期,版本
DS16,数据结构,Huffman树与编码,DS12,构造最优前缀编码并计算WPL,给定权值构树并验证加权路径长度,并列权值导致树不唯一,U,,未取得该节点的独立作答证据；不等于不会,按诊断安排,工作地图；待目标年份官方大纲逐项对齐,,,,v1.1
DS17,数据结构,并查集,DS12,模拟合并与查找并说明优化,跟踪父结点数组的变化,并查集不能代替任意图遍历,U,,未取得该节点的独立作答证据；不等于不会,按诊断安排,工作地图；待目标年份官方大纲逐项对齐,,,,v1.1
DS18,数据结构,图与存储,DS02 DS04,用邻接矩阵和邻接表表示图,比较有向图无向图的度与空间,把边数与邻接表结点数混淆,U,,未取得该节点的独立作答证据；不等于不会,按诊断安排,工作地图；待目标年份官方大纲逐项对齐,,,,v1.1
DS19,数据结构,DFS与BFS,DS07 DS08 DS18,按指定邻接顺序遍历并分析复杂度,说明不连通图如何完整遍历,访问顺序并非总唯一,U,,未取得该节点的独立作答证据；不等于不会,按诊断安排,工作地图；待目标年份官方大纲逐项对齐,,,,v1.1
DS20,数据结构,最小生成树,DS17 DS18,运行Prim和Kruskal并比较代价,在含同权边的图上判断MST唯一性,最小生成树不等于最短路径树,U,,未取得该节点的独立作答证据；不等于不会,按诊断安排,工作地图；待目标年份官方大纲逐项对齐,,,,v1.1
DS21,数据结构,最短路径,DS18 DS19,运行Dijkstra与Floyd并检查条件,发现含负权边时算法前提是否满足,把算法用于不满足条件的图,U,,未取得该节点的独立作答证据；不等于不会,按诊断安排,工作地图；待目标年份官方大纲逐项对齐,,,,v1.1
DS22,数据结构,拓扑排序与关键路径,DS18 DS19,在DAG上计算拓扑序和活动余量,区分关键活动与关键路径,关键路径可能不止一条,U,,未取得该节点的独立作答证据；不等于不会,按诊断安排,工作地图；待目标年份官方大纲逐项对齐,,,,v1.1
DS23,数据结构,顺序折半与分块查找,DS01 DS02,模拟查找并计算成功/失败ASL,给定边界约定画折半查找判定树,无序链表直接套折半效率,U,,未取得该节点的独立作答证据；不等于不会,按诊断安排,工作地图；待目标年份官方大纲逐项对齐,,,,v1.1
DS24,数据结构,BST与AVL,DS12 DS13 DS23,插入删除并按平衡因子调整,构造导致四种旋转的最小例子,局部旋转后未更新整棵树链接,U,,未取得该节点的独立作答证据；不等于不会,按诊断安排,工作地图；待目标年份官方大纲逐项对齐,,,,v1.1
DS25,数据结构,红黑树,DS24,理解颜色约束与平衡界限,检查树是否满足红黑性质,红黑平衡不等于AVL高度差约束,U,,未取得该节点的独立作答证据；不等于不会,按诊断安排,工作地图；待目标年份官方大纲逐项对齐,,,,v1.1
DS26,数据结构,B树与B+树,DS23 DS24,按给定阶数执行查找插入分裂,比较索引结点与叶层组织,阶数与最小度数定义混用,U,,未取得该节点的独立作答证据；不等于不会,按诊断安排,工作地图；待目标年份官方大纲逐项对齐,,,,v1.1
DS27,数据结构,散列表,DS01 DS02 DS23,处理冲突并计算ASL,线性探测删除时解释墓碑标记,直接清空槽位截断后续查找,U,,未取得该节点的独立作答证据；不等于不会,按诊断安排,工作地图；待目标年份官方大纲逐项对齐,,,,v1.1
DS28,数据结构,插入交换选择排序,DS01 DS03,手算关键趟并比较稳定性,比较直接插入、冒泡、简单选择和希尔,稳定性取决于具体实现,U,,未取得该节点的独立作答证据；不等于不会,按诊断安排,工作地图；待目标年份官方大纲逐项对齐,,,,v1.1
DS29,数据结构,快速排序,DS01 DS28,按明确划分方案跟踪枢轴,解释有序输入的最坏情况与递归空间,一趟结果不同不一定错误,U,,未取得该节点的独立作答证据；不等于不会,按诊断安排,工作地图；待目标年份官方大纲逐项对齐,,,,v1.1
DS30,数据结构,堆与堆排序,DS12 DS28,建堆调整并解释复杂度,自底向上建堆与逐个插入的代价,建堆复杂度一律写成nlogn,U,,未取得该节点的独立作答证据；不等于不会,按诊断安排,工作地图；待目标年份官方大纲逐项对齐,,,,v1.1
DS31,数据结构,归并与基数排序,DS01 DS28,分析稳定性、辅助空间和适用对象,解释关键字范围对基数排序的影响,非比较排序无条件突破复杂度下界,U,,未取得该节点的独立作答证据；不等于不会,按诊断安排,工作地图；待目标年份官方大纲逐项对齐,,,,v1.1
DS32,数据结构,外部排序,DS08 DS30 DS31,按缓冲和归并路数计算趟数,区分初始归并段生成与多路归并,只算CPU比较不算外存读写,U,,未取得该节点的独立作答证据；不等于不会,按诊断安排,工作地图；待目标年份官方大纲逐项对齐,,,,v1.1
DS33,数据结构,算法表达与验证,DS01 DS03 DS04,写清前后条件、不变量和复杂度,对原创数组题编写C代码及边界测试,只有口头思路没有可验证代码,U,,未取得该节点的独立作答证据；不等于不会,近期,工作地图；待目标年份官方大纲逐项对齐,,,,v1.1
CO01,计算机组成原理,计算机层次与执行过程,—,串联源程序、指令和硬件执行,解释存储程序工作方式,程序与数据必须占用不同存储器,U,,未取得该节点的独立作答证据；不等于不会,按诊断安排,工作地图；待目标年份官方大纲逐项对齐,,,,v1.1
CO02,计算机组成原理,CPU时间与CPI,—,按指令比例算平均CPI和执行时间,同一任务比较两台机器的运行时间,主频更高一定更快,R,E01 E02,末轮公式复述正确；性能比较有纠错记录,下一次,工作地图；待目标年份官方大纲逐项对齐,,,,v1.1
CO03,计算机组成原理,进制单位与编址,—,转换进制并区分bit、Byte和编址单位,按字节编址求地址空间与容量,KiB与十进制kB混用,U,,未取得该节点的独立作答证据；不等于不会,按诊断安排,工作地图；待目标年份官方大纲逐项对齐,,,,v1.1
CO04,计算机组成原理,整数编码,CO03,求原码反码补码移码与范围,比较n位有符号数和无符号数范围,最小负数能在同位宽中取正,U,,未取得该节点的独立作答证据；不等于不会,按诊断安排,工作地图；待目标年份官方大纲逐项对齐,,,,v1.1
CO05,计算机组成原理,补码运算与标志位,CO04,计算补码加减并判OF/CF,同一位串分别按有符号和无符号解释,进位等于有符号溢出,R,E02,原对话总结报告纠错后复测；未见完整原始答卷,下一次,工作地图；待目标年份官方大纲逐项对齐,,,,v1.1
CO06,计算机组成原理,加法器与ALU,CO05,解释进位链和运算控制,根据输入控制判断算术逻辑结果,把逻辑运算与算术运算混为一谈,U,,未取得该节点的独立作答证据；不等于不会,按诊断安排,工作地图；待目标年份官方大纲逐项对齐,,,,v1.1
CO07,计算机组成原理,乘除与移位,CO04 CO05,按题目模型模拟乘除和移位,比较逻辑右移与算术右移,负数右移无条件等于向零取整除法,U,,未取得该节点的独立作答证据；不等于不会,按诊断安排,工作地图；待目标年份官方大纲逐项对齐,,,,v1.1
CO08,计算机组成原理,浮点数,CO03 CO04,拆符号指数尾数并处理特殊值,区分正规数、非正规数和无穷大,偏置指数与真实指数混淆,U,,未取得该节点的独立作答证据；不等于不会,按诊断安排,工作地图；待目标年份官方大纲逐项对齐,,,,v1.1
CO09,计算机组成原理,浮点运算,CO08,对阶、运算、规格化和舍入,说明为什么浮点加法可能不满足结合律,有效位数与表示范围混淆,U,,未取得该节点的独立作答证据；不等于不会,按诊断安排,工作地图；待目标年份官方大纲逐项对齐,,,,v1.1
CO10,计算机组成原理,主存芯片与扩展,CO03,计算字扩展位扩展与选片,给定芯片规格实现指定主存容量,数据线数与地址线数混用,U,,未取得该节点的独立作答证据；不等于不会,按诊断安排,工作地图；待目标年份官方大纲逐项对齐,,,,v1.1
CO11,计算机组成原理,DRAM与多模块存储,CO10,解释刷新和交叉编址,比较连续访问时低位交叉的效果,刷新与Cache回写混淆,U,,未取得该节点的独立作答证据；不等于不会,按诊断安排,工作地图；待目标年份官方大纲逐项对齐,,,,v1.1
CO12,计算机组成原理,磁盘与SSD,CO03,计算磁盘访问组成并区分介质,计算平均旋转等待与传输时间,顺序带宽代表所有随机I/O性能,U,,未取得该节点的独立作答证据；不等于不会,按诊断安排,工作地图；待目标年份官方大纲逐项对齐,,,,v1.1
CO13,计算机组成原理,局部性与Cache性能,CO02 CO03,用命中率和代价求平均访存时间,说明缺失代价是否包含首次访问,AMAT套式但不读代价定义,U,,未取得该节点的独立作答证据；不等于不会,按诊断安排,工作地图；待目标年份官方大纲逐项对齐,,,,v1.1
CO14,计算机组成原理,Cache映射与地址划分,CO03 CO13,计算行组数与tag/index/offset,同一地址在直接与组相联中分别拆分,总容量包含标记位却仍按数据容量算行数,R,E01 E02,地址字段顺序复述正确；指数易错，尚无跨天证据,下一次,工作地图；待目标年份官方大纲逐项对齐,,,,v1.1
CO15,计算机组成原理,Cache替换与写策略,CO14,模拟LRU/FIFO与写命中缺失,区分写回、写直达、写分配,替换策略与写策略混用,U,,未取得该节点的独立作答证据；不等于不会,按诊断安排,工作地图；待目标年份官方大纲逐项对齐,,,,v1.1
CO16,计算机组成原理,虚拟存储与TLB,CO03 CO13,串联虚拟页号、TLB、页表和页框,区分TLB未命中与缺页,TLB未命中就一定访问磁盘,U,,未取得该节点的独立作答证据；不等于不会,按诊断安排,工作地图；待目标年份官方大纲逐项对齐,,,,v1.1
CO17,计算机组成原理,指令格式与寻址,CO03 CO01,计算操作码空间与有效地址,区分直接、间接、相对、基址变址,操作数地址与操作数值混用,U,,未取得该节点的独立作答证据；不等于不会,按诊断安排,工作地图；待目标年份官方大纲逐项对齐,,,,v1.1
CO18,计算机组成原理,机器级表示与函数调用,CO17 DS07,解释分支、循环、调用栈和返回,跟踪栈帧、参数和返回地址,栈地址增长方向与入栈操作方向混淆,U,,未取得该节点的独立作答证据；不等于不会,按诊断安排,工作地图；待目标年份官方大纲逐项对齐,,,,v1.1
CO19,计算机组成原理,对齐与大小端,CO03 CO17,按字节解释多字节数据布局,在大小端模型下读取同一数值,大小端会反转单字节内的比特,U,,未取得该节点的独立作答证据；不等于不会,按诊断安排,工作地图；待目标年份官方大纲逐项对齐,,,,v1.1
CO20,计算机组成原理,CPU数据通路与控制,CO01 CO17,跟踪取指执行过程与控制信号,给一条指令说明所需微操作,程序计数器与指令寄存器混淆,U,,未取得该节点的独立作答证据；不等于不会,按诊断安排,工作地图；待目标年份官方大纲逐项对齐,,,,v1.1
CO21,计算机组成原理,中断与异常,CO20,区分事件来源、响应和现场保护,比较外中断与缺页异常的触发,异常与外部中断完全相同,U,,未取得该节点的独立作答证据；不等于不会,按诊断安排,工作地图；待目标年份官方大纲逐项对齐,,,,v1.1
CO22,计算机组成原理,流水线性能,CO02 CO20,按流水段和停顿算总周期,明确填充排空开销与稳态吞吐,加速比无条件等于流水段数,U,,未取得该节点的独立作答证据；不等于不会,按诊断安排,工作地图；待目标年份官方大纲逐项对齐,,,,v1.1
CO23,计算机组成原理,流水线冒险,CO22,识别结构数据控制冒险,在给定旁路条件下画时空图,看到相关就一律停顿,U,,未取得该节点的独立作答证据；不等于不会,按诊断安排,工作地图；待目标年份官方大纲逐项对齐,,,,v1.1
CO24,计算机组成原理,多核与并行,CO02 CO23,区分指令级与线程级并行,解释串行部分限制加速比,核数翻倍性能必然翻倍,U,,未取得该节点的独立作答证据；不等于不会,按诊断安排,工作地图；待目标年份官方大纲逐项对齐,,,,v1.1
CO25,计算机组成原理,总线,CO03 CO20,理解仲裁、事务、定时与带宽,按位宽和传输次数求峰值带宽,峰值带宽等于实际有效带宽,U,,未取得该节点的独立作答证据；不等于不会,按诊断安排,工作地图；待目标年份官方大纲逐项对齐,,,,v1.1
CO26,计算机组成原理,I/O接口与控制方式,CO21 CO25,比较查询、中断、DMA的数据路径,说明DMA开始和结束时CPU的参与,DMA全程不需要CPU,U,,未取得该节点的独立作答证据；不等于不会,按诊断安排,工作地图；待目标年份官方大纲逐项对齐,,,,v1.1
OS01,操作系统,运行环境与系统调用,CO01 CO21,区分用户态内核态与系统调用,解释一次读文件为何进入内核,函数调用都触发内核态切换,U,,未取得该节点的独立作答证据；不等于不会,按诊断安排,工作地图；待目标年份官方大纲逐项对齐,,,,v1.1
OS02,操作系统,链接装入与地址空间,CO18 CO19,串联目标文件、装入和进程映像,比较静态链接与动态链接的基本过程,文件中的地址等于运行时物理地址,U,,未取得该节点的独立作答证据；不等于不会,按诊断安排,工作地图；待目标年份官方大纲逐项对齐,,,,v1.1
OS03,操作系统,进程状态与控制,OS01,画PCB、状态和事件转换,区分阻塞与就绪的等待对象,唤醒后立即获得CPU,U,,未取得该节点的独立作答证据；不等于不会,按诊断安排,工作地图；待目标年份官方大纲逐项对齐,,,,v1.1
OS04,操作系统,线程与上下文切换,OS03,比较进程线程的资源共享,说明用户级与内核级线程的阻塞影响,线程共享进程内全部执行上下文,U,,未取得该节点的独立作答证据；不等于不会,按诊断安排,工作地图；待目标年份官方大纲逐项对齐,,,,v1.1
OS05,操作系统,进程通信,OS03,比较共享内存、消息、管道和信号,为场景选通信机制并说明同步需要,通信机制自动解决全部同步问题,U,,未取得该节点的独立作答证据；不等于不会,按诊断安排,工作地图；待目标年份官方大纲逐项对齐,,,,v1.1
OS06,操作系统,调度指标,OS03,计算响应等待周转与带权周转,先画时间轴再填指标表,等待时间包括所有I/O时间,U,,未取得该节点的独立作答证据；不等于不会,按诊断安排,工作地图；待目标年份官方大纲逐项对齐,,,,v1.1
OS07,操作系统,调度算法,OS06,模拟FCFS、SJF、RR与优先级,按到达与抢占规则重算调度顺序,未说明同一时刻到达与抢占的约定,U,,未取得该节点的独立作答证据；不等于不会,按诊断安排,工作地图；待目标年份官方大纲逐项对齐,,,,v1.1
OS08,操作系统,临界区与互斥,OS03,说明竞争条件和临界区要求,用交错执行构造丢失更新,单条高级语言赋值总是原子的,U,,未取得该节点的独立作答证据；不等于不会,按诊断安排,工作地图；待目标年份官方大纲逐项对齐,,,,v1.1
OS09,操作系统,信号量与PV,OS08,区分资源计数与互斥并写正确顺序,完成有界缓冲区初值和P/V,占有mutex后阻塞等待empty或full,R,E01 E02,能指出先持互斥锁再等待资源的死锁风险,下一次,工作地图；待目标年份官方大纲逐项对齐,,,,v1.1
OS10,操作系统,管程条件变量与同步建模,OS09,按事件依赖建立同步关系,解释条件变量与信号量的区别,条件变量signal可以无条件累计许可,U,,未取得该节点的独立作答证据；不等于不会,按诊断安排,工作地图；待目标年份官方大纲逐项对齐,,,,v1.1
OS11,操作系统,读写者与哲学家,OS09 OS10,识别互斥、优先级与饥饿,说明一种避免死锁方案的限制,无死锁就等于无饥饿,U,,未取得该节点的独立作答证据；不等于不会,按诊断安排,工作地图；待目标年份官方大纲逐项对齐,,,,v1.1
OS12,操作系统,死锁条件与处理,OS08,区分预防避免检测解除,为四个必要条件举例并找破坏点,必要条件当成充分条件,U,,未取得该节点的独立作答证据；不等于不会,按诊断安排,工作地图；待目标年份官方大纲逐项对齐,,,,v1.1
OS13,操作系统,银行家与安全性,OS12,模拟Need、Work、Finish与请求检查,给出安全序列或说明找不到,不安全状态等于已经死锁,U,,未取得该节点的独立作答证据；不等于不会,按诊断安排,工作地图；待目标年份官方大纲逐项对齐,,,,v1.1
OS14,操作系统,地址变换与连续分配,CO03 OS02,区分逻辑物理地址与重定位,按首次最佳最坏适应分配并分析碎片,内碎片与外碎片混淆,U,,未取得该节点的独立作答证据；不等于不会,按诊断安排,工作地图；待目标年份官方大纲逐项对齐,,,,v1.1
OS15,操作系统,基本分页与地址转换,OS14,算页号、偏移、页框和物理地址,用页表将逻辑地址转换成物理地址,用逻辑页号直接计算物理地址,R,E01 E04,Day2：位数、页框数、商余拆分正确；偏移从1计数；页表项/目标地址混用、合成漏偏移；已批改，待整组变式。题组部分未提交，不计错。,D2-01成组收尾,工作地图；待目标年份官方大纲逐项对齐,2026-09-18,,,v1.2
OS16,操作系统,多级页表与TLB,OS15 CO16,计算页表级数、表项与访问次数,按给定串并行访问模型算时间,把页表项大小当成页大小,U,,未取得该节点的独立作答证据；不等于不会,按诊断安排,工作地图；待目标年份官方大纲逐项对齐,,,,v1.1
OS17,操作系统,分段与段页式,OS14 OS15,理解段长检查与段页转换,判断段内偏移是否越界,分段与分页对程序员同样透明,U,,未取得该节点的独立作答证据；不等于不会,按诊断安排,工作地图；待目标年份官方大纲逐项对齐,,,,v1.1
OS18,操作系统,请求分页与缺页处理,OS15 CO21,区分缺页、页表访问和磁盘I/O,画出缺页后的调页与重启指令流程,缺页处理中一定需要写回旧页,U,,未取得该节点的独立作答证据；不等于不会,按诊断安排,工作地图；待目标年份官方大纲逐项对齐,,,,v1.1
OS19,操作系统,页面置换,OS18,模拟FIFO、LRU、OPT、Clock,写每一步页框内容和缺页计数,忽略初始空页框也会缺页,U,,未取得该节点的独立作答证据；不等于不会,按诊断安排,工作地图；待目标年份官方大纲逐项对齐,,,,v1.1
OS20,操作系统,工作集与抖动,OS19,解释页框分配、局部全局置换,判断提高并发度可能为何降低效率,缺页率上升时盲目增加并发,U,,未取得该节点的独立作答证据；不等于不会,按诊断安排,工作地图；待目标年份官方大纲逐项对齐,,,,v1.1
OS21,操作系统,文件概念与目录,OS02 DS15,区分目录项、inode和打开文件表,跟踪路径解析和文件打开过程,文件描述符等于inode编号,U,,未取得该节点的独立作答证据；不等于不会,按诊断安排,工作地图；待目标年份官方大纲逐项对齐,,,,v1.1
OS22,操作系统,文件分配与索引,OS21 CO12,计算连续链式索引的访问代价,按块大小和指针宽度算文件上限,目录检索I/O与数据块I/O混算,U,,未取得该节点的独立作答证据；不等于不会,按诊断安排,工作地图；待目标年份官方大纲逐项对齐,,,,v1.1
OS23,操作系统,文件系统管理,OS22,解释空闲空间、挂载与链接,比较硬链接和符号链接的删除行为,删除一个名字必然立即释放文件数据,U,,未取得该节点的独立作答证据；不等于不会,按诊断安排,工作地图；待目标年份官方大纲逐项对齐,,,,v1.1
OS24,操作系统,设备与I/O软件,OS01 CO26,串联系统调用、驱动与设备,区分阻塞非阻塞和同步异步的维度,非阻塞等于不需要后续等待结果,U,,未取得该节点的独立作答证据；不等于不会,按诊断安排,工作地图；待目标年份官方大纲逐项对齐,,,,v1.1
OS25,操作系统,缓冲与SPOOLing,OS24 DS08,解释缓冲重叠与设备虚拟化,根据时序比较单缓冲双缓冲,没有明确重叠条件就直接相减,U,,未取得该节点的独立作答证据；不等于不会,按诊断安排,工作地图；待目标年份官方大纲逐项对齐,,,,v1.1
OS26,操作系统,磁盘调度与SSD,OS24 CO12,模拟FCFS、SSTF、SCAN、C-SCAN,明确磁头方向与物理端点约定,SCAN与LOOK混淆,U,,未取得该节点的独立作答证据；不等于不会,按诊断安排,工作地图；待目标年份官方大纲逐项对齐,,,,v1.1
CN01,计算机网络,分层协议接口服务,—,区分协议实体、接口和服务,跟踪应用数据的分层封装,一层PDU名称套用于所有层,U,,未取得该节点的独立作答证据；不等于不会,按诊断安排,工作地图；待目标年份官方大纲逐项对齐,,,,v1.1
CN02,计算机网络,速率与时延,CO03 CN01,分别算发送传播处理和排队时延,按多段链路和存储转发模型画时序,发送速率决定传播速度,U,,未取得该节点的独立作答证据；不等于不会,近期,工作地图；待目标年份官方大纲逐项对齐,,,,v1.1
CN03,计算机网络,信道与编码调制,CN02,区分码元速率、比特率和编码,解释多进制调制每码元携带比特数,波特率总等于比特率,U,,未取得该节点的独立作答证据；不等于不会,按诊断安排,工作地图；待目标年份官方大纲逐项对齐,,,,v1.1
CN04,计算机网络,奈奎斯特与香农,CN03,按信道条件计算上限,把dB信噪比转线性值再代公式,把dB数直接代入1+S/N,U,,未取得该节点的独立作答证据；不等于不会,按诊断安排,工作地图；待目标年份官方大纲逐项对齐,,,,v1.1
CN05,计算机网络,交换方式与物理设备,CN01 CN02,比较电路报文分组交换,计算存储转发与分组流水传输,集线器能隔离冲突域,U,,未取得该节点的独立作答证据；不等于不会,按诊断安排,工作地图；待目标年份官方大纲逐项对齐,,,,v1.1
CN06,计算机网络,组帧与差错控制,CN03,完成CRC并区分检错纠错,按生成多项式求余数并补零,无检出差错等于绝无差错,U,,未取得该节点的独立作答证据；不等于不会,按诊断安排,工作地图；待目标年份官方大纲逐项对齐,,,,v1.1
CN07,计算机网络,停止等待与窗口,CN02 CN06,计算利用率并跟踪序号确认,明确ACK、传播时间和超时条件,往返传播时间和RTT重复计算,U,,未取得该节点的独立作答证据；不等于不会,按诊断安排,工作地图；待目标年份官方大纲逐项对齐,,,,v1.1
CN08,计算机网络,GBN与SR,CN07,对丢帧乱序模拟接收和重传,由序号位数约束发送接收窗口,把GBN累计确认套给SR,U,,未取得该节点的独立作答证据；不等于不会,按诊断安排,工作地图；待目标年份官方大纲逐项对齐,,,,v1.1
CN09,计算机网络,信道划分与随机接入,CN03 CN06,比较复用和竞争访问,说明退避如何缓解竞争,分配带宽与实际吞吐量相等,U,,未取得该节点的独立作答证据；不等于不会,按诊断安排,工作地图；待目标年份官方大纲逐项对齐,,,,v1.1
CN10,计算机网络,CSMA/CD与CSMA/CA,CN09,解释碰撞检测与避免,给定传播延迟算碰撞检测约束,无线网络能照搬有线碰撞检测,U,,未取得该节点的独立作答证据；不等于不会,按诊断安排,工作地图；待目标年份官方大纲逐项对齐,,,,v1.1
CN11,计算机网络,以太网交换与VLAN,CN01 CN10,模拟MAC学习、转发和泛洪,跟踪初始空转发表的帧去向,交换机收到帧就学习目的MAC,U,,未取得该节点的独立作答证据；不等于不会,按诊断安排,工作地图；待目标年份官方大纲逐项对齐,,,,v1.1
CN12,计算机网络,无线局域网与PPP,CN06 CN10,区分802.11访问与点到点封装,说明无线确认与以太网机制差异,所有链路都采用竞争访问,U,,未取得该节点的独立作答证据；不等于不会,按诊断安排,工作地图；待目标年份官方大纲逐项对齐,,,,v1.1
CN13,计算机网络,IPv4格式与分片,CN01 CN06,按MTU计算分片长度与偏移,区分总长度首部长度和载荷,片偏移以字节而非8字节为单位,U,,未取得该节点的独立作答证据；不等于不会,按诊断安排,工作地图；待目标年份官方大纲逐项对齐,,,,v1.1
CN14,计算机网络,IPv4地址与子网,CO03 CN13,求网络广播主机范围与CIDR,解释/26子网边界并做地址归属,2的主机位次方减2无条件适用于/31和/32,U,,未取得该节点的独立作答证据；不等于不会,近期,工作地图；待目标年份官方大纲逐项对齐,,,,v1.1
CN15,计算机网络,路由聚合与最长前缀,CN14,按二进制公共前缀聚合与转发,在重叠路由中选最长匹配,先出现的表项一定获选,U,,未取得该节点的独立作答证据；不等于不会,按诊断安排,工作地图；待目标年份官方大纲逐项对齐,,,,v1.1
CN16,计算机网络,ARP DHCP ICMP与NAT,CN11 CN14,串联同网段与跨网段通信,解释跨网段时ARP寻找谁的MAC,向远端服务器直接广播ARP,U,,未取得该节点的独立作答证据；不等于不会,按诊断安排,工作地图；待目标年份官方大纲逐项对齐,,,,v1.1
CN17,计算机网络,路由算法与协议,DS21 CN15,比较距离向量链路状态与路径向量,说明RIP、OSPF、BGP的角色差异,BGP只按最短物理距离选路,U,,未取得该节点的独立作答证据；不等于不会,按诊断安排,工作地图；待目标年份官方大纲逐项对齐,,,,v1.1
CN18,计算机网络,IPv6组播与移动IP,CN14 CN17,理解地址扩展、组播与移动性,区分IPv6变化与IPv4特性,把IPv4广播概念原样套到IPv6,U,,未取得该节点的独立作答证据；不等于不会,按诊断安排,工作地图；待目标年份官方大纲逐项对齐,,,,v1.1
CN19,计算机网络,UDP与端口,CN01,解释复用分用、报文边界和校验,同一端口号在TCP/UDP中是否冲突,UDP无连接等于应用不能可靠传输,U,,未取得该节点的独立作答证据；不等于不会,按诊断安排,工作地图；待目标年份官方大纲逐项对齐,,,,v1.1
CN20,计算机网络,TCP序号确认与重传,CN07 CN19,跟踪按字节序号与累计确认,按乱序丢失画确认号变化,段数代替字节数计算序号,U,,未取得该节点的独立作答证据；不等于不会,按诊断安排,工作地图；待目标年份官方大纲逐项对齐,,,,v1.1
